Goal,Target,Indicator,SeriesCode,Country,Time,Val,ValType,Age,Freq,Location,Nature,Scenario,Sex,Units
6,6.b,6.b.1,ER_H2O_PROCED,Australia and New Zealand,2014,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Asia,2014,66.666667,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Asia,2014,55.555556,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Asia,2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Asia,2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Landlocked developing countries (LLDCs),2017,85,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Landlocked developing countries (LLDCs),2017,85,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Small island developing States (SIDS),2017,69.230769,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Small island developing States (SIDS),2017,46.153846,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Least Developed Countries (LDCs),2017,91.304348,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Least Developed Countries (LDCs),2017,78.26087,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Micronesia,2017,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Caucasus and Central Asia,2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Caucasus and Central Asia,2014,80,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Asia,2014,82.142857,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa (exc. Sudan),2017,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa (exc. Sudan),2017,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2017,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2017,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Sub-Saharan Africa (inc. Sudan),2017,90,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Sub-Saharan Africa (inc. Sudan),2017,85,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,World,2017,86.486486,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,World,2017,81.081081,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern America and Europe,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern America and Europe,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern America,2017,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern America,2017,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa,2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa,2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Middle Africa,2014,71.428571,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Asia,2017,85.714286,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Middle Africa,2014,42.857143,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Asia,2017,90.47619,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Caucasus and Central Asia,2017,60,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central Asia and Southern Asia (SDG),2014,66.666667,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central Asia,2017,33.333333,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central Asia,2017,66.666667,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central Asia and Southern Asia (SDG),2017,80,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central Asia and Southern Asia (SDG),2017,80,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Latin America and the Caribbean,2014,93.75,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Latin America and the Caribbean,2014,87.5,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Caribbean,2014,66.666667,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Caribbean,2014,66.666667,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa,2017,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa,2017,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,South America,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,South America,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Africa,2014,66.666667,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Africa,2014,66.666667,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Asia (excluding Japan),2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Asia (excluding Japan),2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Caucasus and Central Asia,2017,80,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern and South-Eastern Asia,2014,88.888889,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern and South-Eastern Asia,2014,88.888889,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Europe,2017,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Europe,2014,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Europe,2014,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern America,2014,0,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern America,2014,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern America and Europe,2014,71.428571,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern America and Europe,2014,71.428571,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,World,2014,82.978723,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,World,2014,79.787234,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Sub-Saharan Africa (inc. Sudan),2014,86.486486,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Sub-Saharan Africa (inc. Sudan),2014,78.378378,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa (exc. Sudan),2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa (exc. Sudan),2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2014,71.428571,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2014,71.428571,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Asia,2014,82.142857,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Asia,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Asia,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern and South-Eastern Asia,2017,88.888889,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern and South-Eastern Asia,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Europe,2017,0,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Africa,2017,75,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Africa,2017,62.5,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Melanesia,2017,50,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Melanesia,2017,50,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Oceania (exc. Australia and New Zealand),2017,50,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Oceania (exc. Australia and New Zealand),2017,50,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Polynesia,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Europe,2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Polynesia,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa and Western Asia,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Northern Africa and Western Asia,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Asia,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Western Asia,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,South-eastern Asia,2017,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,South-eastern Asia,2017,85.714286,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central Asia,2014,100,Float,All,A,Rural,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Central Asia,2014,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Eastern Africa,2017,100,Float,All,A,Urban,E,P,Total,Percentage
6,6.b,6.b.1,ER_H2O_PROCED,Southern Europe,2014,100,Float,All,A,Urban,E,P,Total,Percentage
